1;Warszawa
2;Krakow
3;Gdansk
4;Lodz
5;Poznan
6;Wroclaw
7;Szczecin
8;Katowice
9;Gdynia
10;Bydgoszcz
11;Berlin
12;Monachium
13;Frankfurt
14;Hamburg
15;Kolonia
16;Stuttgart
17;Dortmund
18;Drezno
19;Lipsk
20;Hanower
21;Paryz
22;Lyon
23;Marsylia
24;Tuluza
25;Nantes
26;Nica
27;Strasburg
28;Bordeaux
29;Lille
30;Rennes
31;Rzym
32;Mediolan
33;Neapol
34;Turyn
35;Palermo
36;Genua
37;Bolonia
38;Florencja
39;Bari
40;Katania
41;Madryt
42;Barcelona
43;Walencja
44;Sewilla
45;Zaragoza
46;Malaga
47;Murcja
48;Palma de Mallorca
49;Las Palmas
50;Bilbao
51;Nowy Jork
52;Los Angeles
53;Chicago
54;Houston
55;Filadelfia
56;Phoenix
57;San Antonio
58;San Diego
59;Dallas
60;San Jose
61;Toronto
62;Montreal
63;Vancouver
64;Calgary
65;Edmonton
66;Ottawa
67;Winnipeg
68;Quebec
69;Hamilton
70;London
71;Tokio
72;Kioto
73;Osaka
74;Jokohama
75;Nagoja
76;Sapporo
77;Kobe
78;Fukuoka
79;Kawasaki
80;Saitama
81;Sao Paulo
82;Rio de Janeiro
83;Brasilia
84;Salvador
85;Fortaleza
86;Belo Horizonte
87;Manaus
88;Curitiba
89;Recife
90;Porto Alegre
91;Sydney
92;Melbourne
93;Brisbane
94;Perth
95;Adelaide
96;Canberra
97;Gold Coast
98;Newcastle
99;Wollongong
100;Hobart
